Unnamed: 0,comuna,titulo,precio_uf,m2_totales,m2_construidos,banos,dormitorios,antiguedad_anos,estacionamientos,jardin,piscina,quincho,condominio_cerrado,educacion,comercios,salud,url,tipo_vivienda,uf_por_m2,latitud,longitud,distancia_centro_km
56,Colina,"Casa En Venta De 4 Dorm Chamisero, Chicureo",13900.0,572.0,270.0,4,4,19,6,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-1572332083-casa-en-venta-de-4-dorm-chamisero-chicureo-_JM,casa,51.48148148148148,-33.3049391,-70.6652413,15.12334522841009
57,Colina,Casa En Colina / Región Metropolitana.,7319.0,247.0,121.0,3,4,0,0,False,False,False,True,True,False,False,https://www.portalinmobiliario.com/MLC-3014089912-casa-en-colina-region-metropolitana-_JM,casa,60.48760330578512,-33.299953,-70.658617,15.624728737799645
59,Colina,"Casa En Venta En Chicureo, Piedra Roja",16100.0,600.0,220.0,3,3,8,3,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-1591743015-casa-en-venta-en-chicureo-piedra-roja-_JM,casa,73.18181818181819,-33.2800738,-70.6409045,17.818108238972624
61,Colina,Casa En Venta De 4 Dorm. En Colina,14900.0,500.0,246.0,4,4,2,3,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-1590938809-casa-en-venta-de-4-dorm-en-colina-_JM,casa,60.56910569105691,-33.2811987,-70.6377808,17.706598799830886
62,Colina,"Casa En Venta De 3 Dorm. En Piedra Roja, Chicureo",15900.0,500.0,180.0,3,3,0,6,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-1662053597-casa-en-venta-de-3-dorm-en-piedra-roja-chicureo-_JM,casa,88.33333333333333,-33.2811987,-70.6377808,17.706598799830886
64,Colina,"Casa En Venta De 4 Dorm. En Chicureo, Piedra Roja",17000.0,587.83,205.0,4,4,20,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2917234662-casa-en-venta-de-4-dorm-en-chicureo-piedra-roja-_JM,casa,82.92682926829268,-33.2811987,-70.6377808,17.706598799830886
65,Colina,Casa En Venta De 4 Dorm. En Colina,15500.0,500.0,173.0,3,4,4,2,True,True,True,True,True,False,True,https://portalinmobiliario.com/MLC-1698629491-casa-en-venta-de-4-dorm-en-colina-_JM,casa,89.59537572254335,-33.2811987,-70.6377808,17.706598799830886
66,Colina,"Casa En Venta En Piedra Roja, Chicureo.",21950.0,900.0,285.0,5,5,10,2,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-2856824144-casa-en-venta-en-piedra-roja-chicureo-_JM,casa,77.01754385964912,-33.2800738,-70.6409045,17.818108238972624
68,Colina,Casa En Venta De 3 Dorm. En Colina,11200.0,680.0,126.0,3,3,16,6,True,True,True,True,True,False,False,https://portalinmobiliario.com/MLC-1605183205-casa-en-venta-de-3-dorm-en-colina-_JM,casa,88.88888888888889,-33.2156715,-70.7323896,26.16302841948781
69,Colina,Casa En Piedra Roja Con Quincho Y Piscina,14900.0,485.0,164.0,3,4,3,3,True,True,True,True,True,False,False,https://portalinmobiliario.com/MLC-1621374521-casa-en-piedra-roja-con-quincho-y-piscina-_JM,casa,90.85365853658536,-33.2811987,-70.6377808,17.706598799830886
70,Colina,"Casa En Venta De 4 Dorm. En Piedra Roja, Chicureo",16500.0,557.0,261.0,4,4,10,2,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-2868122178-casa-en-venta-de-4-dorm-en-piedra-roja-chicureo-_JM,casa,63.2183908045977,-33.2811987,-70.6377808,17.706598799830886
71,Colina,"Casa En Venta Chamisero, Chicureo, Colina",17000.0,448.0,222.0,4,4,9,2,True,True,True,True,False,True,False,https://portalinmobiliario.com/MLC-2778333580-casa-en-venta-chamisero-chicureo-colina-_JM,casa,76.57657657657657,-33.3179814,-70.674529,13.808229612999552
72,Colina,Moderna Y Amplia Casa En Venta En Chamisero Chicureo,15100.0,503.0,203.0,4,3,8,2,True,True,True,True,False,True,False,https://portalinmobiliario.com/MLC-1698244759-moderna-y-amplia-casa-en-venta-en-chamisero-chicureo-_JM,casa,74.38423645320196,-33.3179814,-70.674529,13.808229612999552
73,Colina,Casa En Venta En Piedra Roja,13800.0,446.16,146.0,3,3,11,2,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-1569735723-casa-en-venta-en-piedra-roja-_JM,casa,94.52054794520548,-33.2811987,-70.6377808,17.706598799830886
74,Colina,Casa En Venta De 4 Dorm Chamisero Chicureo,12900.0,532.0,196.0,3,4,12,2,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-2967396260-casa-en-venta-de-4-dorm-chamisero-chicureo-_JM,casa,65.81632653061224,-33.3049391,-70.6652413,15.12334522841009
75,Colina,Casa En Venta De 4 Dorm. En Colina,15000.0,443.0,198.0,3,4,8,2,True,True,True,True,True,False,False,https://portalinmobiliario.com/MLC-1565886535-casa-en-venta-de-4-dorm-en-colina-_JM,casa,75.75757575757575,-33.2811987,-70.6377808,17.706598799830886
76,Colina,Espectacular Casa En Venta Condominio Canquen Piedra Roja,16900.0,610.0,233.0,4,4,12,4,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-3215475714-espectacular-casa-en-venta-condominio-canquen-piedra-roja-_JM,casa,72.53218884120172,-33.2656887,-70.6220337,19.556373826748832
77,Colina,"Casa Remanso De Chicureo, Microbarrios Con Áreas Verdes",8700.0,447.0,149.0,3,3,10,2,True,True,True,True,True,False,False,https://portalinmobiliario.com/MLC-1645891753-casa-remanso-de-chicureo-microbarrios-con-areas-verdes-_JM,casa,58.38926174496644,-33.2291775,-70.6663842,23.525363541456297
78,Colina,Casa En Venta De 3 Dorm. En Los Bosques De Piedra Roja,19400.0,1270.23,225.0,4,3,11,4,True,True,True,True,False,True,False,https://portalinmobiliario.com/MLC-3002604384-casa-en-venta-de-3-dorm-en-los-bosques-de-piedra-roja-_JM,casa,86.22222222222223,-33.2800738,-70.6409045,17.818108238972624
79,Colina,Casa En Venta En Colina,8500.0,307.0,125.0,3,3,5,2,True,True,True,True,True,False,False,https://portalinmobiliario.com/MLC-1645971311-casa-en-venta-en-colina-_JM,casa,68.0,-33.2139557,-70.6620253,25.18998898742421
80,Colina,"Casa En Venta De 3 Dorm. En Chicureo, Piedra Roja",11980.0,300.0,120.0,3,3,6,2,True,True,True,True,True,False,False,https://portalinmobiliario.com/MLC-2839786200-casa-en-venta-de-3-dorm-en-chicureo-piedra-roja-_JM,casa,99.83333333333331,-33.2811987,-70.6377808,17.706598799830886
81,Colina,"Casa En Venta De 5 Dorm. Chicureo, Piedra Roja",16900.0,932.22,222.75,4,5,11,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2839812210-casa-en-venta-de-5-dorm-chicureo-piedra-roja-_JM,casa,75.86980920314254,-33.2811987,-70.6377808,17.706598799830886
82,Colina,Casa En Venta En Colina,7900.0,306.0,125.0,3,3,10,2,True,True,True,True,True,False,False,https://portalinmobiliario.com/MLC-1641809117-casa-en-venta-en-colina-_JM,casa,63.2,-33.2139557,-70.6620253,25.18998898742421
84,Colina,Casa En Venta De 4 Dorm. En Colina,15000.0,438.0,222.0,4,4,6,3,True,True,True,True,False,True,False,https://portalinmobiliario.com/MLC-2839924168-casa-en-venta-de-4-dorm-en-colina-_JM,casa,67.56756756756756,-33.3179814,-70.674529,13.808229612999552
85,Colina,Casa En Venta De 4 Dorm. En Piedra Roja De Chicureo,16500.0,646.05,185.0,4,4,15,2,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-1572029815-casa-en-venta-de-4-dorm-en-piedra-roja-de-chicureo-_JM,casa,89.1891891891892,-33.2800738,-70.6409045,17.818108238972624
86,Colina,Casa En Venta De 3 Dorm. En Piedra Roja Chicureo,13900.0,421.0,140.0,3,3,8,2,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-2853840816-casa-en-venta-de-3-dorm-en-piedra-roja-chicureo-_JM,casa,99.28571428571428,-33.2800738,-70.6409045,17.818108238972624
87,Colina,Casa En Venta De 3 Dorm. En Brisas Norte De Chicureo,12500.0,398.0,140.0,3,3,5,3,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-2743307780-casa-en-venta-de-3-dorm-en-brisas-norte-de-chicureo-_JM,casa,89.28571428571429,-33.2139557,-70.6620253,25.18998898742421
88,Colina,Casa En Venta De 3 Dorm. En Colina,16300.0,491.0,212.0,0,3,0,3,True,True,True,True,True,False,False,https://portalinmobiliario.com/MLC-2919316494-casa-en-venta-de-3-dorm-en-colina-_JM,casa,76.88679245283019,-33.2811987,-70.6377808,17.706598799830886
89,Colina,"Casa En Venta En Chicureo, Piedra Roja, Colina.",14900.0,600.79,185.0,3,4,15,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2839760736-casa-en-venta-en-chicureo-piedra-roja-colina-_JM,casa,80.54054054054055,-33.2811987,-70.6377808,17.706598799830886
90,Colina,Casa En Venta De 3 Dorm. En Colina,15500.0,491.0,173.0,3,3,5,3,True,True,True,True,True,False,True,https://portalinmobiliario.com/MLC-2999313234-casa-en-venta-de-3-dorm-en-colina-_JM,casa,89.59537572254335,-33.2811987,-70.6377808,17.706598799830886
91,Colina,Casa En Venta En Chamisero Chicureo,13600.0,417.0,198.0,4,4,9,2,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-2839949364-casa-en-venta-en-chamisero-chicureo-_JM,casa,68.68686868686869,-33.3049391,-70.6652413,15.12334522841009
93,Colina,Casa En Venta En Colina,22900.0,1073.06,235.0,4,4,13,0,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-1572332087-casa-en-venta-en-colina-_JM,casa,97.44680851063828,-33.2800738,-70.6409045,17.818108238972624
94,Colina,Casa En Venta La Reserva- Chicureo Colina,13000.0,803.0,200.0,3,4,11,5,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-2976013602-casa-en-venta-la-reserva-chicureo-colina-_JM,casa,65.0,-33.319142,-70.6830172,13.84380327608319
96,Colina,"Casa En Venta Chicureo, Piedra Roja",12300.0,574.13,163.0,4,4,0,2,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-1651796371-casa-en-venta-chicureo-piedra-roja-_JM,casa,75.4601226993865,-33.2811987,-70.6377808,17.706598799830886
97,Colina,Casa En Venta De 4 Dorm. En Piedra Roja,14800.0,803.0,189.0,4,4,21,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2938034606-casa-en-venta-de-4-dorm-en-piedra-roja-_JM,casa,78.3068783068783,-33.2800738,-70.6409045,17.818108238972624
100,Colina,"Casa En Venta En Chicureo, Colina, Remanso De Chicureo",9000.0,388.0,166.0,3,4,11,2,True,True,True,True,True,False,False,https://portalinmobiliario.com/MLC-1583350611-casa-en-venta-en-chicureo-colina-remanso-de-chicureo-_JM,casa,54.21686746987952,-33.2291775,-70.6663842,23.525363541456297
101,Colina,Casa En Venta En Piedra Roja,12900.0,499.0,140.0,3,3,11,2,True,True,True,True,True,False,False,https://portalinmobiliario.com/MLC-3038233964-casa-en-venta-en-piedra-roja-_JM,casa,92.14285714285714,-33.2800738,-70.6409045,17.818108238972624
103,Colina,"Casa En Venta En Chicureo, Piedra Roja",18500.0,588.0,200.0,3,3,11,4,True,True,True,True,True,False,False,https://portalinmobiliario.com/MLC-2839812496-casa-en-venta-en-chicureo-piedra-roja-_JM,casa,92.5,-33.2811987,-70.6377808,17.706598799830886
104,Colina,Casa En Venta En Colina,14500.0,390.0,151.0,3,3,5,2,True,True,True,True,True,False,False,https://portalinmobiliario.com/MLC-1620814875-casa-en-venta-en-colina-_JM,casa,96.02649006622516,-33.2811987,-70.6377808,17.706598799830886
105,Colina,Casa En Venta En Colina,15900.0,898.08,194.45,4,4,17,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1564577763-casa-en-venta-en-colina-_JM,casa,81.76909231164824,-33.2800738,-70.6409045,17.818108238972624
107,Colina,"Casa En Venta De 5 Dorm. En Piedra Roja, Chicureo",20510.0,968.0,252.0,4,5,10,4,True,True,True,True,False,True,False,https://portalinmobiliario.com/MLC-1706914255-casa-en-venta-de-5-dorm-en-piedra-roja-chicureo-_JM,casa,81.38888888888889,-33.2811987,-70.6377808,17.706598799830886
110,Colina,"Baja De Precio!!!! Piedra Roja, Chicureo",14900.0,587.0,280.0,3,5,9,2,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-2785183820-baja-de-precio-piedra-roja-chicureo-_JM,casa,53.21428571428572,-33.2800738,-70.6409045,17.818108238972624
111,Colina,Casa En Venta En Piedra Roja Chicureo.,12900.0,390.0,139.0,3,3,8,2,True,True,True,True,True,False,False,https://portalinmobiliario.com/MLC-2839101056-casa-en-venta-en-piedra-roja-chicureo-_JM,casa,92.80575539568343,-33.2800738,-70.6409045,17.818108238972624
112,Colina,"Casa En Venta Chicureo, Colina, Colegio Highlands",9490.0,470.0,139.0,3,3,6,3,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2839773532-casa-en-venta-chicureo-colina-colegio-highlands-_JM,casa,68.27338129496403,-33.2291775,-70.6663842,23.525363541456297
113,Colina,Casa En Venta En Colina,14700.0,750.0,200.0,4,4,8,0,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-1626853245-casa-en-venta-en-colina-_JM,casa,73.5,-33.319142,-70.6830172,13.84380327608319
114,Colina,"Casa En Venta En Piedra Roja, Chicureo.",13850.0,649.62,170.07,3,3,15,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2836001152-casa-en-venta-en-piedra-roja-chicureo-_JM,casa,81.43705533015817,-33.2800738,-70.6409045,17.818108238972624
