comuna,titulo,precio_uf,m2_totales,m2_construidos,banos,dormitorios,antiguedad_anos,estacionamientos,jardin,piscina,quincho,condominio_cerrado,educacion,comercios,salud,url,tipo_vivienda
Cerrillos,Casa 204mts En Venta De 2 Dorm. En Cerrillos,3500.0,204.0,84.0,1,2,0,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1713132693-casa-204mts-en-venta-de-2-dorm-en-cerrillos-_JM,casa
Cerrillos,"Se Vende Casa En Microbarrio En Casas Oeste, Cerrillos",,144.0,144.0,3,5,17,1,True,False,True,True,True,True,False,https://portalinmobiliario.com/MLC-1675444829-se-vende-casa-en-microbarrio-en-casas-oeste-cerrillos-_JM,casa
Cerrillos,"Casa 3dorm-3baños En Condominio, Cerrillos, Mall P. Oeste",4350.0,122.0,87.0,3,3,12,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1704680221-casa-3dorm-3banos-en-condominio-cerrillos-mall-p-oeste-_JM,casa
Cerrillos,Oportunidad / Seguridad/ Amplia Casa-oficina / 3d+3b+3e,,190.0,125.0,3,3,0,3,True,False,True,True,True,True,True,https://portalinmobiliario.com/MLC-3241654858-oportunidad-seguridad-amplia-casa-oficina-3d3b3e-_JM,casa
Cerrillos,Casa En Venta En Cerrillos Con Patio Y Cocina Equipada,,258.0,135.0,2,4,40,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1710997743-casa-en-venta-en-cerrillos-con-patio-y-cocina-equipada-_JM,casa
Cerrillos,"Casa 4 Dormitorios 3 Baños, Estacionamiento Cerrillos",,125.0,90.0,2,4,40,1,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-1651886921-casa-4-dormitorios-3-banos-estacionamiento-cerrillos-_JM,casa
Cerrillos,Casa En Excelente Ubicacion,3600.0,128.0,70.0,2,3,21,1,True,True,True,True,True,True,False,https://portalinmobiliario.com/MLC-1677327241-casa-en-excelente-ubicacion-_JM,casa
Cerrillos,"Linda Casa, Para Llegar Y Habitar",7500.0,150.0,137.0,3,4,0,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1701681337-linda-casa-para-llegar-y-habitar-_JM,casa
Cerrillos,Casa En Venta De 5 Dorm. En Maipú,,118.0,131.0,2,5,36,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3234874496-casa-en-venta-de-5-dorm-en-maipu-_JM,casa
Cerrillos,Tu Nuevo Hogar: Casa En Cerrillos,,100.0,163.0,2,4,3,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3014631086-tu-nuevo-hogar-casa-en-cerrillos-_JM,casa
Cerrillos,"Casa 3d,1b 113/136m2 Residencial",2950.0,182.0,113.0,1,3,35,1,True,False,True,True,True,True,False,https://portalinmobiliario.com/MLC-3221857790-casa-3d1b-113136m2-residencial-_JM,casa
Cerrillos,Linda Casa Con Amplios Espacios,9000.0,164.0,85.0,5,6,0,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3167762198-linda-casa-con-amplios-espacios-_JM,casa
Cerrillos,"Linda Casa, Para Llegar Y Habitar",6790.0,180.0,150.0,3,4,0,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3168242090-linda-casa-para-llegar-y-habitar-_JM,casa
Cerrillos,Doctor Santibáñez,,307.0,307.0,3,5,20,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2881201066-doctor-santibanez-_JM,casa
Cerrillos,Venta Casa 4hab 1ba Cerrillos,,140.0,84.0,1,4,37,1,True,True,True,True,False,False,False,https://portalinmobiliario.com/MLC-3198377786-venta-casa-4hab-1ba-cerrillos-_JM,casa
Cerrillos,"Vende Excelente Propiedad En Cerrillos, En Condominio - Muni",,147.0,107.0,2,4,0,2,False,False,True,True,True,True,False,https://portalinmobiliario.com/MLC-3193057290-vende-excelente-propiedad-en-cerrillos-en-condominio-muni-_JM,casa
Cerrillos,Remodelada En Pasaje Cerrado 3d-2b,3590.0,124.0,76.0,2,3,17,1,True,False,True,True,True,True,False,https://portalinmobiliario.com/MLC-3174048286-remodelada-en-pasaje-cerrado-3d-2b-_JM,casa
Cerrillos,"Vendo Casa En Altura, Orientación Nororiente 3d 1b 2e",,258.0,101.0,1,3,55,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3152221340-vendo-casa-en-altura-orientacion-nororiente-3d-1b-2e-_JM,casa
Cerrillos,Linda Casa Remodelada 3d-1b Villa Vista Alegre Cerrillos,3580.0,161.0,63.0,1,3,31,3,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1725249277-linda-casa-remodelada-3d-1b-villa-vista-alegre-cerrillos-_JM,casa
Cerrillos,Casa A Minutos De Mall Plaza Oeste,4390.0,122.0,87.0,3,3,12,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3001068846-casa-a-minutos-de-mall-plaza-oeste-_JM,casa
Cerrillos,Casa En Venta De 4 Dorm. En Cerrillos,,294.0,99.0,2,4,0,6,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1627144923-casa-en-venta-de-4-dorm-en-cerrillos-_JM,casa
